State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Region
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sunflower,35900,11100,South India
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Tobacco,200,200,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Dry chillies,100,100,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Gram,28000,14800,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Groundnut,20200,21700,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Horse-gram,600,200,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Jowar,18800,9400,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Korra,100,100,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Maize,600,2400,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Ragi,600,1000,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000,37300,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Sunflower,30100,11100,South India
Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Wheat,300,200,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Arhar/Tur,27400,9100,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Bajra,2600,1900,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Castor seed,3200,1000,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Cotton(lint),14000,12900,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Dry chillies,4000,10000,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Groundnut,755200,867800,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Horse-gram,2300,900,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Jowar,3700,5800,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Korra,4600,3400,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Maize,3300,6700,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Moong(Green Gram),2100,1300,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Other Kharif pulses,2000,300,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Ragi,7000,14900,South India
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300,96800,South India
